Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week)
42.0,Female,95.2,1.76,178,158.0,56.0,1.21,770.0,Cardio,25.3,2.0,2
43.0,Male,70.1,1.72,187,129.0,54.0,1.43,984.0,HIIT,25.0,1.6,3
23.0,Male,72.9,1.51,190,164.0,57.0,1.29,925.0,Strength,22.3,1.5,2
34.0,Female,100.1,1.97,192,164.0,73.0,2.0,1747.0,Yoga,25.5,1.5,4
54.0,Female,41.4,1.6,163,169.0,71.0,1.62,1385.0,Yoga,10.0,1.6,5
50.0,Female,60.4,1.72,184,124.0,74.0,2.0,494.0,Yoga,27.9,3.0,4
33.0,Female,60.7,2.0,188,169.0,74.0,1.42,705.0,Cardio,23.3,3.2,4
40.0,Female,61.0,1.88,171,138.0,62.0,1.38,1180.0,HIIT,24.9,2.0,2
44.0,Female,91.2,1.87,194,141.0,66.0,1.66,1345.0,Yoga,22.7,2.5,2
38.0,Male,50.0,1.75,186,135.0,59.0,2.0,695.0,Strength,23.4,1.6,4
28.0,Female,85.6,1.54,168,128.0,59.0,1.45,860.0,Yoga,14.9,2.4,4
43.0,Male,57.8,1.78,197,163.0,52.0,1.42,1418.0,Yoga,28.6,1.6,2
22.0,Male,47.4,1.91,161,164.0,73.0,2.0,1206.0,Cardio,26.6,3.5,5
41.0,Male,65.9,1.93,188,124.0,74.0,1.36,1419.0,Yoga,22.6,1.5,2
39.0,Female,41.3,1.76,175,136.0,69.0,1.42,1096.0,Yoga,24.3,3.2,3
18.0,Male,48.2,1.75,180,134.0,63.0,1.39,1053.0,Yoga,22.1,2.2,4
30.0,Male,72.5,1.91,189,142.0,58.0,1.44,976.0,Cardio,28.2,3.6,2
24.0,Female,51.3,1.69,174,153.0,74.0,1.18,828.0,Yoga,16.1,2.6,3
54.0,Female,40.0,1.75,174,166.0,66.0,1.58,409.0,Cardio,27.9,3.5,5
50.0,Female,40.0,1.75,162,169.0,55.0,2.0,1449.0,Yoga,31.7,3.5,4
47.0,Female,71.5,1.79,162,169.0,65.0,1.84,822.0,HIIT,29.1,2.3,5
31.0,Female,67.60663667,1.54,161,156.0,74.0,0.68,882.0,Cardio,28.9,2.6,4
19.0,Female,51.4,1.84,169,152.0,58.0,1.14,1175.0,Cardio,20.9,3.5,5
26.0,Female,122.7,1.739233371,191,151.0,72.0,1.14,524.0,Strength,24.3,1.5,2
18.0,Male,56.5,1.93,177,156.0,52.0,1.53,1419.0,Strength,22.3,3.5,4
59.0,Male,108.3,1.53,183,122.0,50.0,0.86,1071.0,HIIT,21.9,3.3,3
32.0,Male,68.7,1.77,186,146.259322,63.0,1.85,1118.0,Yoga,28.5,3.5,3
27.0,Female,52.3,1.77,193,130.0,57.0,2.0,993.0,Yoga,25.6,2.706644144,4
46.0,Male,85.9,1.7,180,148.0,66.0,1.77,1088.0,HIIT,13.8,3.4,2
41.0,Male,52.8,1.68,192,132.0,59.0,1.47,1709.0,Cardio,29.6,3.5,4
18.0,Female,61.1,1.74,191,159.0,69.0,1.36,1311.0,HIIT,15.6,3.4,2
18.0,Female,110.3,1.76,168,169.0,55.0,1.86,1391.0,Strength,33.0,3.5,5
19.0,Male,42.1,1.6,194,148.0,73.0,1.27,1305.0,Cardio,12.7,3.3,2
45.0,Male,98.7,1.77,183,132.0,74.0,1.32,400.0,Cardio,19.5,2.0,4
22.0,Female,102.4,1.5,173,156.0,55.0,1.44,453.0,HIIT,17.5,1.6,4
18.0,Male,66.6,1.62,192,156.0,58.0,1.3,1250.0,Cardio,21.3,3.2,5
23.0,Female,59.0,1.62,193,162.0,56.0,1.391598199,670.0,Cardio,17.6,1.6,5
50.0,Male,97.0,1.65,191,133.0,70.0,1.43,1256.0,Cardio,27.1,1.5,5
45.0,Male,76.6,1.77,181,122.0,64.0,1.82,1186.0,Cardio,19.1,3.5,2
26.0,Female,91.7,1.58,167,120.0,52.0,1.65,1334.0,Cardio,29.2,2.6,2
37.0,Female,44.2,1.61,168,164.0,73.0,1.13,1011.0,Yoga,28.8,2.5,4
18.0,Female,58.4,1.87,167,168.0,74.0,1.42,1306.0,Cardio,26.9,3.2,2
36.0,Male,47.2,1.83,192,146.0,54.0,1.3,775.0,HIIT,29.9,3.4,4
44.0,Female,71.6,1.73,167,138.0,71.0,1.45,1000.0,Strength,23.6,2.6,2
